 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               0;
     1    0.044            2500             818;
     2    0.089            2500            1672;
     3    0.133            2500            2105;
     4    0.177            2500            2299;
     5    0.221            2500            2398;
     6    0.266            2500            2430;
     7    0.310            2500            2443;
     8    0.354            2500            2449;
     9    0.398            2500            2454;
    10    0.443            2500            2456;
    11    0.487            2500            2458;
    12    0.531            2500            2466;
    13    0.576            2500            2463;
    14    0.620            2500            2466;
    15    0.664            2500            2465;
    16    0.708            2500            2470;
    17    0.753            2500            2465;
    18    0.797            2500            2472;
    19    0.841            2500            2469;
    20    0.885            2500            2472;
    21    0.930            2500            2468;
    22    0.974            2500            2472;
    23    1.018            2500            2470;
    24    1.063            2500            2471;
    25    1.107            2500            2471;
    26    1.151            2500            2472;
    27    1.195            2500            2470;
    28    1.240            2500            2471;
    29    1.284            2500            2471;
    30    1.328            2500            2471;
    31    1.372            2500            2471;
    32    1.417            2500            2471;
    33    1.461            2500            2470;
    34    1.505            2500            2471;
    35    1.549            2500            2471;
    36    1.594            2500            2471;
    37    1.638            2500            2470;
    38    1.682            2500            2472;
    39    1.727            2500            2471;
    40    1.771            2500            2471;
    41    1.815            2500            2471;
    42    1.859            2500            2472;
    43    1.904            2500            2471;
    44    1.948            2500            2471;
    45    1.992            2500            2471;
    46    2.036               0            1843;
    47    2.081               0             922;
    48    2.125               0             426;
    49    2.169               0             203;
    50    2.214               0              93;
    51    2.258               0              67;
    52    2.302               0              42;
    53    2.346               0              38;
    54    2.391               0              34;
    55    2.435               0              31;
    56    2.479               0              25;
    57    2.523               0              22;
    58    2.568               0              25;
    59    2.612               0              18;
    60    2.656               0              20;
    61    2.701               0              17;
    62    2.745               0              20;
    63    2.789               0              14;
    64    2.833               0              18;
    65    2.878               0              17;
    66    2.922               0              17;
    67    2.966               0              17;
    68    3.010               0              17;
    69    3.055               0              17;
    70    3.099               0              16;
    71    3.143               0              18;
    72    3.188               0              17;
    73    3.232               0              16;
    74    3.276               0              17;
    75    3.320               0              17;
    76    3.365               0              17;
    77    3.409               0              16;
    78    3.453               0              18;
    79    3.497               0              14;
    80    3.542               0              18;
    81    3.586               0              16;
    82    3.630               0              18;
    83    3.674               0              14;
    84    3.719               0              18;
    85    3.763               0              16;
    86    3.807               0              17;
    87    3.852               0              16;
    88    3.896               0              16;
    89    3.940               0              16;
    90    3.984               0              16;
    91    4.029               0              17;
    92    4.073               0              16;
    93    4.117               0              16;
    94    4.161               0              16;
    95    4.206               0              17;
    96    4.250               0              16;
    97    4.294               0              17;
    98    4.339               0              16;
    99    4.383               0              17;
   100    4.427               0              16;
   101    4.471               0              17;
   102    4.516               0              16;
   103    4.560               0              16;
   104    4.604               0              17;
   105    4.648               0              16;
   106    4.693               0              16;
   107    4.737               0              16;
   108    4.781               0              16;
   109    4.826               0              16;
   110    4.870               0              16;
   111    4.914               0              16;
   112    4.958               0              16;
   113    5.003               0              16;
   114    5.047               0              16;
   115    5.091               0              16;
   116    5.135               0              16;
   117    5.180               0              16;
   118    5.224               0              16;
   119    5.268               0              16;
   120    5.313               0              16;
   121    5.357               0              16;
   122    5.401               0              16;
   123    5.445               0              16;
   124    5.490               0              16;
   125    5.534               0              16;
   126    5.578               0              16;
   127    5.622               0              16;
   128    5.667               0              16;
   129    5.711               0              16;
   130    5.755               0              16;
   131    5.799               0              16;
   132    5.844               0              16;
   133    5.888               0              16;
   134    5.932               0              16;
   135    5.977               0              16;
   136    6.021               0              16;
   137    6.065               0              16;
   138    6.109               0              16;
   139    6.154               0              16;
   140    6.198               0              16;
   141    6.242               0              16;
   142    6.286               0              16;
   143    6.331               0              16;
   144    6.375               0              16;
   145    6.419               0              16;
   146    6.464               0              16;
   147    6.508               0              16;
   148    6.552               0              16;
   149    6.596               0              16;
   150    6.641               0              16;
   151    6.685               0              16;
   152    6.729               0              16;
   153    6.773               0              16;
   154    6.818               0              16;
   155    6.862               0              16;
   156    6.906               0              16;
   157    6.951               0              16;
   158    6.995               0              16;
   159    7.039               0              16;
   160    7.083               0              16;
   161    7.128               0              16;
   162    7.172               0              16;
   163    7.216               0              16;
   164    7.260               0              16;
   165    7.305               0              16;
   166    7.349               0              16;
   167    7.393               0              16;
   168    7.438               0              16;
   169    7.482               0              16;
   170    7.526               0              16;
   171    7.570               0              16;
   172    7.615               0              16;
   173    7.659               0              16;
   174    7.703               0              16;
   175    7.747               0              16;
   176    7.792               0              16;
   177    7.836               0              16;
   178    7.880               0              16;
   179    7.924               0              16;
   180    7.969               0              16;
   181    8.013               0              16;
   182    8.057               0              16;
   183    8.102               0              16;
   184    8.146               0              16;
   185    8.190               0              16;
   186    8.234               0              16;
   187    8.279               0              16;
   188    8.323               0              16;
   189    8.367               0              16;
   190    8.411               0              16;
   191    8.456               0              16;
   192    8.500               0              16;
   193    8.544               0              16;
   194    8.589               0              16;
   195    8.633               0              16;
   196    8.677               0              16;
   197    8.721               0              16;
   198    8.766               0              16;
   199    8.810               0              16;
   200    8.854               0              16;
   201    8.898               0              16;
   202    8.943               0              16]
