 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000            2500               0;
     1    0.044            2500             971;
     2    0.089            2500            2213;
     3    0.133            2500            2997;
     4    0.177            2500            3312;
     5    0.221            2500            3320;
     6    0.266            2500            3151;
     7    0.310            2500            2936;
     8    0.354            2500            2722;
     9    0.398            2500            2564;
    10    0.443            2500            2463;
    11    0.487            2500            2417;
    12    0.531            2500            2416;
    13    0.576            2500            2421;
    14    0.620            2500            2442;
    15    0.664            2500            2455;
    16    0.708            2500            2473;
    17    0.753            2500            2479;
    18    0.797            2500            2499;
    19    0.841            2500            2501;
    20    0.885            2500            2507;
    21    0.930            2500            2507;
    22    0.974            2500            2514;
    23    1.018            2500            2512;
    24    1.063            2500            2512;
    25    1.107            2500            2510;
    26    1.151            2500            2507;
    27    1.195            2500            2503;
    28    1.240            2500            2501;
    29    1.284            2500            2499;
    30    1.328            2500            2497;
    31    1.372            2500            2497;
    32    1.417            2500            2497;
    33    1.461            2500            2497;
    34    1.505            2500            2498;
    35    1.549            2500            2498;
    36    1.594            2500            2499;
    37    1.638            2500            2497;
    38    1.682            2500            2500;
    39    1.727            2500            2499;
    40    1.771            2500            2500;
    41    1.815            2500            2499;
    42    1.859            2500            2501;
    43    1.904            2500            2499;
    44    1.948            2500            2500;
    45    1.992            2500            2500;
    46    2.036               0            1834;
    47    2.081               0             551;
    48    2.125               0            -339;
    49    2.169               0            -749;
    50    2.214               0            -833;
    51    2.258               0            -697;
    52    2.302               0            -500;
    53    2.346               0            -288;
    54    2.391               0            -111;
    55    2.435               0              13;
    56    2.479               0              76;
    57    2.523               0              94;
    58    2.568               0              90;
    59    2.612               0              66;
    60    2.656               0              57;
    61    2.701               0              41;
    62    2.745               0              27;
    63    2.789               0               2;
    64    2.833               0             -17;
    65    2.878               0             -31;
    66    2.922               0             -36;
    67    2.966               0             -35;
    68    3.010               0             -29;
    69    3.055               0             -24;
    70    3.099               0             -19;
    71    3.143               0              -8;
    72    3.188               0              -5;
    73    3.232               0               0;
    74    3.276               0               3;
    75    3.320               0               6;
    76    3.365               0               6;
    77    3.409               0               6;
    78    3.453               0               7;
    79    3.497               0               4;
    80    3.542               0               5;
    81    3.586               0               3;
    82    3.630               0               4;
    83    3.674               0               0;
    84    3.719               0               3;
    85    3.763               0              -1;
    86    3.807               0               1;
    87    3.852               0              -1;
    88    3.896               0               0;
    89    3.940               0              -1;
    90    3.984               0              -1;
    91    4.029               0              -1;
    92    4.073               0              -1;
    93    4.117               0              -1;
    94    4.161               0              -1;
    95    4.206               0               0;
    96    4.250               0              -1;
    97    4.294               0               0;
    98    4.339               0              -1;
    99    4.383               0               0;
   100    4.427               0               0;
   101    4.471               0               0;
   102    4.516               0               0;
   103    4.560               0               0;
   104    4.604               0               0;
   105    4.648               0               0;
   106    4.693               0               0;
   107    4.737               0               0;
   108    4.781               0               0;
   109    4.826               0               0;
   110    4.870               0               0;
   111    4.914               0               0;
   112    4.958               0               0;
   113    5.003               0               0;
   114    5.047               0               0;
   115    5.091               0               0;
   116    5.135               0               0;
   117    5.180               0               0;
   118    5.224               0               0;
   119    5.268               0               0;
   120    5.313               0               0;
   121    5.357               0               0;
   122    5.401               0               0;
   123    5.445               0               0;
   124    5.490               0               0;
   125    5.534               0               0;
   126    5.578               0               0;
   127    5.622               0               0;
   128    5.667               0               0;
   129    5.711               0               0;
   130    5.755               0               0;
   131    5.799               0               0;
   132    5.844               0               0;
   133    5.888               0               0;
   134    5.932               0               0;
   135    5.977               0               0;
   136    6.021               0               0;
   137    6.065               0               0;
   138    6.109               0               0;
   139    6.154               0               0;
   140    6.198               0               0;
   141    6.242               0               0;
   142    6.286               0               0;
   143    6.331               0               0;
   144    6.375               0               0;
   145    6.419               0               0;
   146    6.464               0               0;
   147    6.508               0               0;
   148    6.552               0               0;
   149    6.596               0               0;
   150    6.641               0               0;
   151    6.685               0               0;
   152    6.729               0               0;
   153    6.773               0               0;
   154    6.818               0               0;
   155    6.862               0               0;
   156    6.906               0               0;
   157    6.951               0               0;
   158    6.995               0               0;
   159    7.039               0               0;
   160    7.083               0               0;
   161    7.128               0               0;
   162    7.172               0               0;
   163    7.216               0               0;
   164    7.260               0               0;
   165    7.305               0               0;
   166    7.349               0               0;
   167    7.393               0               0;
   168    7.438               0               0;
   169    7.482               0               0;
   170    7.526               0               0;
   171    7.570               0               0;
   172    7.615               0               0;
   173    7.659               0               0;
   174    7.703               0               0;
   175    7.747               0               0;
   176    7.792               0               0;
   177    7.836               0               0;
   178    7.880               0               0;
   179    7.924               0               0;
   180    7.969               0               0;
   181    8.013               0               0;
   182    8.057               0               0;
   183    8.102               0               0;
   184    8.146               0               0;
   185    8.190               0               0;
   186    8.234               0               0;
   187    8.279               0               0;
   188    8.323               0               0;
   189    8.367               0               0;
   190    8.411               0               0;
   191    8.456               0               0;
   192    8.500               0               0;
   193    8.544               0               0;
   194    8.589               0               0;
   195    8.633               0               0;
   196    8.677               0               0;
   197    8.721               0               0;
   198    8.766               0               0;
   199    8.810               0               0;
   200    8.854               0               0;
   201    8.898               0               0;
   202    8.943               0               0]
