 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000               0               1;
     1    0.044               0               1;
     2    0.089               0               4;
     3    0.133               0              18;
     4    0.177               0              67;
     5    0.221               0             123;
     6    0.266               0             184;
     7    0.310               0             278;
     8    0.354               0             383;
     9    0.398               0             484;
    10    0.443               0             563;
    11    0.487               0             623;
    12    0.531               0             670;
    13    0.576               0             722;
    14    0.620               0             761;
    15    0.664               0             774;
    16    0.708               0             792;
    17    0.753               0             849;
    18    0.797               0             929;
    19    0.841               0            1024;
    20    0.885               0            1125;
    21    0.930               0            1222;
    22    0.974               0            1312;
    23    1.018               0            1404;
    24    1.063               0            1449;
    25    1.107               0            1451;
    26    1.151               0            1451;
    27    1.195               0            1467;
    28    1.240               0            1530;
    29    1.284               0            1632;
    30    1.328               0            1776;
    31    1.372               0            1944;
    32    1.417               0            2071;
    33    1.461               0            2088;
    34    1.505               0            1956;
    35    1.549               0            1562;
    36    1.594               0             941;
    37    1.638               0             206;
    38    1.682               0            -523;
    39    1.727               0           -1151;
    40    1.771               0           -1573;
    41    1.815               0           -1715;
    42    1.859               0           -1582;
    43    1.904               0           -1221;
    44    1.948               0            -702;
    45    1.992               0            -116;
    46    2.036               0             450;
    47    2.081               0             924;
    48    2.125               0            1223;
    49    2.169               0            1293;
    50    2.214               0            1146;
    51    2.258               0             838;
    52    2.302               0             428;
    53    2.346               0              -8;
    54    2.391               0            -411;
    55    2.435               0            -728;
    56    2.479               0            -912;
    57    2.523               0            -933;
    58    2.568               0            -815;
    59    2.612               0            -601;
    60    2.656               0            -329;
    61    2.701               0             -47;
    62    2.745               0             210;
    63    2.789               0             411;
    64    2.833               0             527;
    65    2.878               0             547;
    66    2.922               0             496;
    67    2.966               0             389;
    68    3.010               0             251;
    69    3.055               0             110;
    70    3.099               0             -23;
    71    3.143               0            -121;
    72    3.188               0            -182;
    73    3.232               0            -193;
    74    3.276               0            -170;
    75    3.320               0            -136;
    76    3.365               0            -108;
    77    3.409               0             -94;
    78    3.453               0             -95;
    79    3.497               0             -96;
    80    3.542               0             -96;
    81    3.586               0             -96;
    82    3.630               0             -96;
    83    3.674               0             -96;
    84    3.719               0             -96;
    85    3.763               0             -96;
    86    3.807               0             -96;
    87    3.852               0             -96;
    88    3.896               0             -96;
    89    3.940               0             -96;
    90    3.984               0             -96;
    91    4.029               0             -96;
    92    4.073               0             -96;
    93    4.117               0             -96;
    94    4.161               0             -96;
    95    4.206               0             -97;
    96    4.250               0             -97;
    97    4.294               0             -97;
    98    4.339               0             -97;
    99    4.383               0             -97;
   100    4.427               0             -97;
   101    4.471               0             -97;
   102    4.516               0             -97;
   103    4.560               0             -97;
   104    4.604               0             -97;
   105    4.648               0             -97;
   106    4.693               0             -97;
   107    4.737               0             -97;
   108    4.781               0             -97;
   109    4.826               0             -97;
   110    4.870               0             -97;
   111    4.914               0             -97;
   112    4.958               0             -97;
   113    5.003               0             -97;
   114    5.047               0             -97;
   115    5.091               0             -97;
   116    5.135               0             -97;
   117    5.180               0             -97;
   118    5.224               0             -97;
   119    5.268               0             -97;
   120    5.313               0             -97;
   121    5.357               0             -97;
   122    5.401               0             -97;
   123    5.445               0             -97;
   124    5.490               0             -97;
   125    5.534               0             -97;
   126    5.578               0             -97;
   127    5.622               0             -97;
   128    5.667               0             -97;
   129    5.711               0             -97;
   130    5.755               0             -97;
   131    5.799               0             -97;
   132    5.844               0             -97;
   133    5.888               0             -97;
   134    5.932               0             -97;
   135    5.977               0             -97;
   136    6.021               0             -97;
   137    6.065               0             -97;
   138    6.109               0             -97;
   139    6.154               0             -97;
   140    6.198               0             -97;
   141    6.242               0             -97;
   142    6.286               0             -97;
   143    6.331               0             -97;
   144    6.375               0             -97;
   145    6.419               0             -97;
