 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000               0               0;
     1    0.044               0               0;
     2    0.089               0               0;
     3    0.133               0               0;
     4    0.177               0               0;
     5    0.221               0               0;
     6    0.266               0               0;
     7    0.310               0               0;
     8    0.354               0               0;
     9    0.398               0               0;
    10    0.443               0               0;
    11    0.487               0               0;
    12    0.531               0               0;
    13    0.576               0               0;
    14    0.620               0               0;
    15    0.664               0               0;
    16    0.708               0               0;
    17    0.753               0               0;
    18    0.797               0               0;
    19    0.841               0               0;
    20    0.885               0               0;
    21    0.930               0               0;
    22    0.974               0               0;
    23    1.018               0               0;
    24    1.063               0               0;
    25    1.107               0               0;
    26    1.151               0               0;
    27    1.195               0              -2;
    28    1.240               0            -215;
    29    1.284               0            -840;
    30    1.328               0           -1660;
    31    1.372               0           -2096;
    32    1.417               0           -2236;
    33    1.461               0           -2258;
    34    1.505               0           -2242;
    35    1.549               0           -2224;
    36    1.594               0           -2214;
    37    1.638               0           -2212;
    38    1.682               0           -2211;
    39    1.727               0           -2211;
    40    1.771               0           -2211;
    41    1.815               0           -2210;
    42    1.859               0           -2210;
    43    1.904               0           -2210;
    44    1.948               0           -2210;
    45    1.992               0           -2389;
    46    2.036               0           -3043;
    47    2.081               0           -3660;
    48    2.125               0           -4042;
    49    2.169               0           -4164;
    50    2.214               0           -4181;
    51    2.258               0           -4168;
    52    2.302               0           -4149;
    53    2.346               0           -4133;
    54    2.391               0           -4117;
    55    2.435               0           -4108;
    56    2.479               0           -4101;
    57    2.523               0           -4098;
    58    2.568               0           -4096;
    59    2.612               0           -4095;
    60    2.656               0           -4093;
    61    2.701               0           -4093;
    62    2.745               0           -4091;
    63    2.789               0           -4090;
    64    2.833               0           -4090;
    65    2.878               0           -4224;
    66    2.922               0           -5065;
    67    2.966               0           -5620;
    68    3.010               0           -5809;
    69    3.055               0           -5841;
    70    3.099               0           -5817;
    71    3.143               0           -5785;
    72    3.188               0           -5758;
    73    3.232               0           -5735;
    74    3.276               0           -5711;
    75    3.320               0           -5693;
    76    3.365               0           -5687;
    77    3.409               0           -5683;
    78    3.453               0           -5680;
    79    3.497               0           -5674;
    80    3.542               0           -5669;
    81    3.586               0           -5661;
    82    3.630               0           -5653;
    83    3.674               0           -5643;
    84    3.719               0           -5636;
    85    3.763               0           -5626;
    86    3.807               0           -5617;
    87    3.852               0           -4813;
    88    3.896               0           -2862;
    89    3.940               0           -1761;
    90    3.984               0           -1323;
    91    4.029               0           -1145;
    92    4.073               0           -1081;
    93    4.117               0           -1075;
    94    4.161               0           -1096;
    95    4.206               0           -1120;
    96    4.250               0           -1138;
    97    4.294               0           -1138;
    98    4.339               0           -1138;
    99    4.383               0           -1137;
   100    4.427               0           -1137;
   101    4.471               0           -1137;
   102    4.516               0           -1137;
   103    4.560               0           -1137;
   104    4.604               0           -1137;
   105    4.648               0           -1137;
   106    4.693               0           -1136;
   107    4.737               0           -1137;
   108    4.781               0           -1075;
   109    4.826               0             518;
   110    4.870               0            1918;
   111    4.914               0            2417;
   112    4.958               0            2575;
   113    5.003               0            2615;
   114    5.047               0            2601;
   115    5.091               0            2582;
   116    5.135               0            2556;
   117    5.180               0            2538;
   118    5.224               0            2511;
   119    5.268               0            2490;
   120    5.313               0            2454;
   121    5.357               0            2420;
   122    5.401               0            2390;
   123    5.445               0            2380;
   124    5.490               0            2364;
   125    5.534               0            2351;
   126    5.578               0            2332;
   127    5.622               0            2319;
   128    5.667               0            2312;
   129    5.711               0            2309;
   130    5.755               0            2307;
   131    5.799               0            2303;
   132    5.844               0            2245;
   133    5.888               0             857;
   134    5.932               0           -1009;
   135    5.977               0           -1875;
   136    6.021               0           -2189;
   137    6.065               0           -2284;
   138    6.109               0           -2286;
   139    6.154               0           -2283;
   140    6.198               0           -2255;
   141    6.242               0           -2242;
   142    6.286               0           -2218;
   143    6.331               0           -2220;
   144    6.375               0           -2206;
   145    6.419               0           -2211;
   146    6.464               0           -2203;
   147    6.508               0           -2205;
   148    6.552               0           -2200;
   149    6.596               0           -2199;
   150    6.641               0           -2195;
   151    6.685               0           -2189;
   152    6.729               0           -2186;
   153    6.773               0           -2179;
   154    6.818               0           -2177;
   155    6.862               0           -1222;
   156    6.906               0            1125;
   157    6.951               0            2201;
   158    6.995               0            2570;
   159    7.039               0            2697;
   160    7.083               0            2702;
   161    7.128               0            2691;
   162    7.172               0            2653;
   163    7.216               0            2633;
   164    7.260               0            2610;
   165    7.305               0            2598;
   166    7.349               0            2580;
   167    7.393               0            2565;
   168    7.438               0            2554;
   169    7.482               0            2541;
   170    7.526               0            2534;
   171    7.570               0            2519;
   172    7.615               0            2506;
   173    7.659               0            2483;
   174    7.703               0            2471;
   175    7.747               0            2452;
   176    7.792               0            2447;
   177    7.836               0            2426;
   178    7.880               0             779;
   179    7.924               0           -1659;
   180    7.969               0           -2747;
   181    8.013               0           -3128;
   182    8.057               0           -3245;
   183    8.102               0           -3252;
   184    8.146               0           -3247;
   185    8.190               0           -3222;
   186    8.234               0           -3213;
   187    8.279               0           -3182;
   188    8.323               0           -3170;
   189    8.367               0           -3149;
   190    8.411               0           -3143;
   191    8.456               0           -3130;
   192    8.500               0           -3128;
   193    8.544               0           -3122;
   194    8.589               0           -3118;
   195    8.633               0           -3113;
   196    8.677               0           -3109;
   197    8.721               0           -3107;
   198    8.766               0           -1619;
   199    8.810               0            1627;
   200    8.854               0            3203;
   201    8.898               0            3783;
   202    8.943               0            4008;
   203    8.987               0            4055;
   204    9.031               0            4048;
   205    9.076               0            4003;
   206    9.120               0            3967;
   207    9.164               0            3927;
   208    9.208               0            3899;
   209    9.253               0            3873;
   210    9.297               0            3854;
   211    9.341               0            3830;
   212    9.385               0            3800;
   213    9.430               0            3773;
   214    9.474               0            3749;
   215    9.518               0            3738;
   216    9.563               0            3718;
   217    9.607               0            3698;
   218    9.651               0            3660;
