 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000               2               2;
     1    0.044               2               3;
     2    0.089               2              15;
     3    0.133               2              65;
     4    0.177               2             213;
     5    0.221               2             482;
     6    0.266               2             834;
     7    0.310               2            1170;
     8    0.354               2            1409;
     9    0.398               2            1516;
    10    0.443               2            1522;
    11    0.487               2            1492;
    12    0.531               2            1354;
    13    0.576               2             877;
    14    0.620               2             149;
    15    0.664               2            -598;
    16    0.708               2           -1153;
    17    0.753               2           -1342;
    18    0.797               2           -1112;
    19    0.841               2            -578;
    20    0.885               2              89;
    21    0.930               2             708;
    22    0.974               2            1083;
    23    1.018               2            1084;
    24    1.063               2             740;
    25    1.107               2             188;
    26    1.151               2            -391;
    27    1.195               2            -837;
    28    1.240               2           -1018;
    29    1.284               2            -902;
    30    1.328               2            -546;
    31    1.372               2             -64;
    32    1.417               2             408;
    33    1.461               2             737;
    34    1.505               2             813;
    35    1.549               2             633;
    36    1.594               2             280;
    37    1.638               2            -126;
    38    1.682               2            -470;
    39    1.727               2            -656;
    40    1.771               2            -636;
    41    1.815               2            -447;
    42    1.859               2            -159;
    43    1.904               2             145;
    44    1.948               2             385;
    45    1.992               2             489;
    46    2.036               2             414;
    47    2.081               2             233;
    48    2.125               2              16;
    49    2.169               2            -183;
    50    2.214               2            -303;
    51    2.258               2            -316;
    52    2.302               2            -245;
    53    2.346               2            -123;
    54    2.391               2               5;
    55    2.435               2             103;
    56    2.479               2             148;
    57    2.523               2             150;
    58    2.568               2             128;
    59    2.612               2              88;
    60    2.656               2              35;
    61    2.701               2             -13;
    62    2.745               2             -41;
    63    2.789               2             -42;
    64    2.833               2             -35;
    65    2.878               2             -31;
    66    2.922               2             -30;
    67    2.966               2             -30;
    68    3.010               2             -30;
    69    3.055               2             -30;
    70    3.099               2             -30;
    71    3.143               2             -30;
    72    3.188               2             -30;
    73    3.232               2             -30;
    74    3.276               2             -30;
    75    3.320               2             -30;
    76    3.365               2             -30;
    77    3.409               2             -30;
    78    3.453               2             -29;
    79    3.497               2             -29;
    80    3.542               2             -29;
    81    3.586               2             -29;
    82    3.630               2             -29;
    83    3.674               2             -29;
    84    3.719               2             -29;
    85    3.763               2             -29;
    86    3.807               2             -29;
    87    3.852               2             -29;
    88    3.896               2             -29;
    89    3.940               2             -29;
    90    3.984               2             -29;
    91    4.029               2             -29;
    92    4.073               2             -29;
    93    4.117               2             -29;
    94    4.161               2             -29;
    95    4.206               2             -29;
    96    4.250               2             -29;
    97    4.294               2             -29;
    98    4.339               2             -29;
    99    4.383               2             -29;
   100    4.427               2             -29;
   101    4.471               2             -29;
   102    4.516               2             -29;
   103    4.560               2             -29;
   104    4.604               2             -29;
   105    4.648               2             -29;
   106    4.693               2             -29;
   107    4.737               2             -29;
   108    4.781               2             -29;
   109    4.826               2             -29;
   110    4.870               2             -29;
   111    4.914               2             -29;
   112    4.958               2             -29;
   113    5.003               2             -29;
   114    5.047               2             -29;
   115    5.091               2             -29;
   116    5.135               2             -29;
   117    5.180               2             -29;
   118    5.224               2             -29;
   119    5.268               2             -29;
   120    5.313               2             -29;
   121    5.357               2             -29;
   122    5.401               2             -29;
   123    5.445               2             -29;
   124    5.490               2             -29;
   125    5.534               2             -29;
   126    5.578               2             -29;
   127    5.622               2             -29;
   128    5.667               2             -29;
   129    5.711               2             -29;
   130    5.755               2             -29;
   131    5.799               2             -29;
   132    5.844               2             -29;
   133    5.888               2             -29;
   134    5.932               2             -29;
   135    5.977               2             -29;
   136    6.021               2             -29;
   137    6.065               2             -29;
   138    6.109               2             -29;
   139    6.154               2             -29;
   140    6.198               2             -29;
   141    6.242               2             -29;
   142    6.286               2             -29;
   143    6.331               2             -29;
   144    6.375               2             -29;
   145    6.419               2             -29;
   146    6.464               2             -29;
   147    6.508               2             -29;
   148    6.552               2             -29;
   149    6.596               2             -29;
   150    6.641               2             -29;
   151    6.685               2             -29;
   152    6.729               2             -29;
   153    6.773               2             -29;
   154    6.818               2             -29;
   155    6.862               2             -29;
   156    6.906               2             -29;
   157    6.951               2             -29;
   158    6.995               2             -29;
   159    7.039               2             -29;
   160    7.083               2             -29;
   161    7.128               2             -29;
   162    7.172               2             -29;
   163    7.216               2             -29;
   164    7.260               2             -29;
   165    7.305               2             -29;
   166    7.349               2             -29;
   167    7.393               2             -29;
   168    7.438               2             -29;
   169    7.482               2             -29;
   170    7.526               2             -29;
   171    7.570               2             -29;
   172    7.615               2             -29;
   173    7.659               2             -29;
   174    7.703               2             -29;
   175    7.747               2             -29;
   176    7.792               2             -29;
   177    7.836               2             -29;
   178    7.880               2             -29;
   179    7.924               2             -29;
   180    7.969               2             -29;
   181    8.013               2             -29;
   182    8.057               2             -29;
   183    8.102               2             -29;
   184    8.146               2             -29;
   185    8.190               2             -29;
   186    8.234               2             -29;
   187    8.279               2             -29;
   188    8.323               2             -29;
   189    8.367               2             -29;
   190    8.411               2             -29;
   191    8.456               2             -29;
   192    8.500               2             -29;
   193    8.544               2             -29;
   194    8.589               2             -29;
   195    8.633               2             -29;
   196    8.677               2             -29;
   197    8.721               2             -29;
   198    8.766               2             -29;
   199    8.810               2             -29;
   200    8.854               2             -29;
   201    8.898               2             -29;
   202    8.943               2             -29;
   203    8.987               2             -29;
   204    9.031               2             -29;
   205    9.076               2             -29;
   206    9.120               2             -29;
   207    9.164               2             -29;
   208    9.208               2             -29;
   209    9.253               2             -29;
   210    9.297               2             -29;
   211    9.341               2             -29;
   212    9.385               2             -29;
   213    9.430               2             -29;
   214    9.474               2             -29;
   215    9.518               2             -29;
   216    9.563               2             -29;
   217    9.607               2             -29;
   218    9.651               2             -29;
   219    9.695               2             -29;
   220    9.740               2             -29;
   221    9.784               2             -29;
   222    9.828               2             -29;
   223    9.872               2             -29;
   224    9.917               2             -29;
   225    9.961               2             -29;
   226   10.005               2             -29;
   227   10.049               2             -29;
   228   10.094               2             -29;
   229   10.138               2             -29;
   230   10.182               2             -29;
   231   10.227               2             -29;
   232   10.271               2             -29;
   233   10.315               2             -29;
   234   10.359               2             -29;
   235   10.404               2             -29;
   236   10.448               2             -29;
   237   10.492               2             -29;
   238   10.536               2             -29;
   239   10.581               2             -29;
   240   10.625               2             -29;
   241   10.669               2             -29;
   242   10.714               2             -29;
   243   10.758               2             -29;
   244   10.802               2             -29;
   245   10.846               2             -29;
   246   10.891               2             -29;
   247   10.935               2             -29]
