 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000               0              -1;
     1    0.044               0              -1;
     2    0.089               0              -1;
     3    0.133               0              -1;
     4    0.177               0              -1;
     5    0.221               0              -1;
     6    0.266               0              -1;
     7    0.310               0              -1;
     8    0.354               0              -1;
     9    0.398               0              -1;
    10    0.443               0              -1;
    11    0.487               0              -1;
    12    0.531               0              -1;
    13    0.576               0              -1;
    14    0.620               0              -1;
    15    0.664               0              -1;
    16    0.708               0              -1;
    17    0.753               0              -1;
    18    0.797               0              -1;
    19    0.841               0              -1;
    20    0.885               0              -1;
    21    0.930               0              -1;
    22    0.974               0              -1;
    23    1.018               0              -1;
    24    1.063               0              -1;
    25    1.107               0              -1;
    26    1.151               0              -1;
    27    1.195               0              -1;
    28    1.240               0              -1;
    29    1.284               0              25;
    30    1.328               0             180;
    31    1.372               0             470;
    32    1.417               0             601;
    33    1.461               0             591;
    34    1.505               0             586;
    35    1.549               0             580;
    36    1.594               0             575;
    37    1.638               0             570;
    38    1.682               0             564;
    39    1.727               0             560;
    40    1.771               0             554;
    41    1.815               0             551;
    42    1.859               0             546;
    43    1.904               0             710;
    44    1.948               0            1353;
    45    1.992               0            1933;
    46    2.036               0            2130;
    47    2.081               0            2122;
    48    2.125               0            2112;
    49    2.169               0            2104;
    50    2.214               0            2093;
    51    2.258               0            2088;
    52    2.302               0            2081;
    53    2.346               0            2079;
    54    2.391               0            2074;
    55    2.435               0            2073;
    56    2.479               0            2070;
    57    2.523               0            2069;
    58    2.568               0            2066;
    59    2.612               0            2066;
    60    2.656               0            2064;
    61    2.701               0            1989;
    62    2.745               0            1545;
    63    2.789               0            1207;
    64    2.833               0            1184;
    65    2.878               0            1182;
    66    2.922               0            1183;
    67    2.966               0            1183;
    68    3.010               0            1182;
    69    3.055               0            1181;
    70    3.099               0            1182;
    71    3.143               0            1181;
    72    3.188               0             955;
    73    3.232               0             -50;
    74    3.276               0            -738;
    75    3.320               0            -747;
    76    3.365               0            -749;
    77    3.409               0            -741;
    78    3.453               0            -738;
    79    3.497               0            -739;
    80    3.542               0            -733;
    81    3.586               0            -730;
    82    3.630               0            -731;
    83    3.674               0           -1195;
    84    3.719               0           -2413;
    85    3.763               0           -2712;
    86    3.807               0           -2684;
    87    3.852               0           -2681;
    88    3.896               0           -2670;
    89    3.940               0           -2663;
    90    3.984               0           -2652;
    91    4.029               0           -2652;
    92    4.073               0           -2648;
    93    4.117               0           -2645;
    94    4.161               0           -3283;
    95    4.206               0           -3809;
    96    4.250               0           -3790;
    97    4.294               0           -3781;
    98    4.339               0           -3770;
    99    4.383               0           -3762;
   100    4.427               0           -3752;
   101    4.471               0           -3741;
   102    4.516               0           -3742;
   103    4.560               0           -3727;
   104    4.604               0           -3730;
   105    4.648               0           -3102;
   106    4.693               0            -923;
   107    4.737               0             441;
   108    4.781               0             431;
   109    4.826               0             433;
   110    4.870               0             428;
   111    4.914               0             422;
   112    4.958               0             423;
   113    5.003               0             422;
   114    5.047               0             416;
   115    5.091               0             416;
   116    5.135               0             702;
   117    5.180               0            1945;
   118    5.224               0            2253;
   119    5.268               0            2234;
   120    5.313               0            2233;
   121    5.357               0            2220;
   122    5.401               0            2217;
   123    5.445               0            2204;
   124    5.490               0            2204;
   125    5.534               0            2192;
   126    5.578               0            2192;
   127    5.622               0            2184;
   128    5.667               0            2183;
   129    5.711               0            2175;
   130    5.755               0            2173;
   131    5.799               0            2170;
   132    5.844               0            2167;
   133    5.888               0            1805;
   134    5.932               0             586;
   135    5.977               0            -489;
   136    6.021               0            -530;
   137    6.065               0            -526;
   138    6.109               0            -521;
   139    6.154               0            -515;
   140    6.198               0            -519;
   141    6.242               0            -513;
   142    6.286               0            -511;
   143    6.331               0            -512;
