 Sample   Time     Commanded Pos   Encoder 1 Pos 

[    0    0.000               0               5;
     1    0.044               0              41;
     2    0.089               0             178;
     3    0.133               0             495;
     4    0.177               0            1003;
     5    0.221               0            1603;
     6    0.266               0            2175;
     7    0.310               0            2648;
     8    0.354               0            2917;
     9    0.398               0            2758;
    10    0.443               0            2144;
    11    0.487               0            1164;
    12    0.531               0             -23;
    13    0.576               0           -1221;
    14    0.620               0           -2252;
    15    0.664               0           -2921;
    16    0.708               0           -3090;
    17    0.753               0           -2732;
    18    0.797               0           -1912;
    19    0.841               0            -768;
    20    0.885               0             507;
    21    0.930               0            1727;
    22    0.974               0            2693;
    23    1.018               0            3225;
    24    1.063               0            3223;
    25    1.107               0            2695;
    26    1.151               0            1712;
    27    1.195               0             424;
    28    1.240               0            -957;
    29    1.284               0           -2220;
    30    1.328               0           -3141;
    31    1.372               0           -3539;
    32    1.417               0           -3331;
    33    1.461               0           -2563;
    34    1.505               0           -1350;
    35    1.549               0              99;
    36    1.594               0            1559;
    37    1.638               0            2805;
    38    1.682               0            3620;
    39    1.727               0            3871;
    40    1.771               0            3525;
    41    1.815               0            2624;
    42    1.859               0            1270;
    43    1.904               0            -327;
    44    1.948               0           -1913;
    45    1.992               0           -3225;
    46    2.036               0           -4024;
    47    2.081               0           -4165;
    48    2.125               0           -3625;
    49    2.169               0           -2475;
    50    2.214               0            -884;
    51    2.258               0             884;
    52    2.302               0            2559;
    53    2.346               0            3868;
    54    2.391               0            4602;
    55    2.435               0            4582;
    56    2.479               0            3812;
    57    2.523               0            2430;
    58    2.568               0             609;
    59    2.612               0           -1366;
    60    2.656               0           -3177;
    61    2.701               0           -4514;
    62    2.745               0           -5173;
    63    2.789               0           -5068;
    64    2.833               0           -4222;
    65    2.878               0           -2691;
    66    2.922               0            -660;
    67    2.966               0            1531;
    68    3.010               0            3548;
    69    3.055               0            5071;
    70    3.099               0            5762;
    71    3.143               0            5440;
    72    3.188               0            4168;
    73    3.232               0            2183;
    74    3.276               0            -230;
    75    3.320               0           -2683;
    76    3.365               0           -4782;
    77    3.409               0           -6193;
    78    3.453               0           -6595;
    79    3.497               0           -5865;
    80    3.542               0           -4167;
    81    3.586               0           -1755;
    82    3.630               0            1031;
    83    3.674               0            3758;
    84    3.719               0            5978;
    85    3.763               0            7213;
    86    3.807               0            7196;
    87    3.852               0            5925;
    88    3.896               0            3572;
    89    3.940               0             548;
    90    3.984               0           -2678;
    91    4.029               0           -5593;
    92    4.073               0           -7674;
    93    4.117               0           -8439;
    94    4.161               0           -7748;
    95    4.206               0           -5650;
    96    4.250               0           -2528;
    97    4.294               0            1135;
    98    4.339               0            4770]
